NOME_MUN,REGIAO,N_MICRO,PIB
GOIANESIA,CENTRO-OESTE,CERES,666362
AGUAS LINDAS DE GOIAS,CENTRO-OESTE,ENTORNO DE BRASILIA,676643
CHAPADAO DO CEU,CENTRO-OESTE,SUDOESTE DE GOIAS,682160
MORRINHOS,CENTRO-OESTE,MEIA PONTE,683115
GOIATUBA,CENTRO-OESTE,MEIA PONTE,685025
IPAMERI,CENTRO-OESTE,CATALAO,699553
NIQUELANDIA,CENTRO-OESTE,PORANGATU,743257
ALTO HORIZONTE,CENTRO-OESTE,PORANGATU,754293
QUIRINOPOLIS,CENTRO-OESTE,QUIRINOPOLIS,772315
VALPARAISO DE GOIAS,CENTRO-OESTE,ENTORNO DE BRASILIA,844612
CALDAS NOVAS,CENTRO-OESTE,MEIA PONTE,856443
TRINDADE,CENTRO-OESTE,GOIANIA,881431
MINACU,CENTRO-OESTE,PORANGATU,897332
FORMOSA,CENTRO-OESTE,ENTORNO DE BRASILIA,911428
MINEIROS,CENTRO-OESTE,SUDOESTE DE GOIAS,1059047
CRISTALINA,CENTRO-OESTE,ENTORNO DE BRASILIA,1121098
SAO SIMAO,CENTRO-OESTE,QUIRINOPOLIS,1382123
LUZIANIA,CENTRO-OESTE,ENTORNO DE BRASILIA,2077842
JATAI,CENTRO-OESTE,SUDOESTE DE GOIAS,2142103
ITUMBIARA,CENTRO-OESTE,MEIA PONTE,2259728
SENADOR CANEDO,CENTRO-OESTE,GOIANIA,3188615
CATALAO,CENTRO-OESTE,CATALAO,3970852
RIO VERDE,CENTRO-OESTE,SUDOESTE DE GOIAS,4160501
APARECIDA DE GOIANIA,CENTRO-OESTE,GOIANIA,5148640
ANAPOLIS,CENTRO-OESTE,ANAPOLIS,10059557
GOIANIA,CENTRO-OESTE,GOIANIA,24445744
